node_id,annotator_id,label,confidence,annotated_at
social_account_00369,A1,1,0.60,2026-07-30T12:07:57+07:00
bank_account_00107,A1,1,0.78,2026-07-30T12:07:57+07:00
social_account_00251,A1,1,0.55,2026-07-30T12:07:57+07:00
ewallet_00322,A1,1,0.67,2026-07-30T12:07:57+07:00
social_account_00791,A1,1,0.75,2026-07-30T12:07:57+07:00
domain_00044,A1,1,0.78,2026-07-30T12:07:57+07:00
domain_00436,A1,1,0.70,2026-07-30T12:07:57+07:00
domain_00655,A1,1,0.69,2026-07-30T12:07:57+07:00
social_account_00075,A1,1,0.90,2026-07-30T12:07:57+07:00
ewallet_00192,A1,1,0.60,2026-07-30T12:07:57+07:00
social_account_01269,A1,1,0.41,2026-07-30T12:07:57+07:00
domain_00033,A1,1,0.80,2026-07-30T12:07:57+07:00
social_account_00404,A1,1,0.50,2026-07-30T12:07:57+07:00
phone_00162,A1,1,0.60,2026-07-30T12:07:57+07:00
bank_account_00024,A1,1,0.73,2026-07-30T12:07:57+07:00
domain_00512,A1,1,0.70,2026-07-30T12:07:57+07:00
social_account_00212,A1,1,0.66,2026-07-30T12:07:57+07:00
domain_00389,A1,1,0.80,2026-07-30T12:07:57+07:00
social_account_00322,A1,1,0.77,2026-07-30T12:07:57+07:00
ewallet_00434,A1,1,0.90,2026-07-30T12:07:57+07:00
social_account_01056,A1,1,0.55,2026-07-30T12:07:57+07:00
phone_00431,A1,1,0.70,2026-07-30T12:07:57+07:00
domain_00370,A1,1,0.80,2026-07-30T12:07:57+07:00
social_account_00738,A1,0,0.90,2026-07-30T12:07:57+07:00
social_account_00850,A1,1,0.60,2026-07-30T12:07:57+07:00
social_account_01293,A1,1,0.70,2026-07-30T12:07:57+07:00
social_account_01013,A1,1,0.70,2026-07-30T12:07:57+07:00
social_account_00084,A1,1,0.80,2026-07-30T12:07:57+07:00
domain_00290,A1,1,0.50,2026-07-30T12:07:57+07:00
social_account_00141,A1,1,0.55,2026-07-30T12:07:57+07:00
bank_account_00215,A1,1,0.75,2026-07-30T12:07:57+07:00
social_account_01415,A1,1,0.30,2026-07-30T12:07:57+07:00
social_account_00453,A1,1,0.40,2026-07-30T12:07:57+07:00
social_account_00004,A1,1,0.30,2026-07-30T12:07:57+07:00
ewallet_00247,A1,1,0.60,2026-07-30T12:07:57+07:00
bank_account_00117,A1,1,0.20,2026-07-30T12:07:57+07:00
social_account_01169,A1,1,0.60,2026-07-30T12:07:57+07:00
bank_account_00287,A1,1,0.70,2026-07-30T12:07:57+07:00
apk_00062,A1,1,0.90,2026-07-30T12:07:57+07:00
social_account_00651,A1,1,0.88,2026-07-30T12:07:57+07:00
social_account_01090,A1,1,0.70,2026-07-30T12:07:57+07:00
social_account_00292,A1,1,0.95,2026-07-30T12:07:57+07:00
ewallet_00446,A1,1,0.85,2026-07-30T12:07:57+07:00
social_account_00909,A1,1,0.74,2026-07-30T12:07:57+07:00
domain_00430,A1,1,0.60,2026-07-30T12:07:57+07:00
phone_00305,A1,1,0.70,2026-07-30T12:07:57+07:00
domain_00082,A1,1,0.70,2026-07-30T12:07:57+07:00
social_account_00917,A1,1,0.75,2026-07-30T12:07:57+07:00
social_account_01376,A1,1,0.30,2026-07-30T12:07:57+07:00
ewallet_00168,A1,1,0.88,2026-07-30T12:07:57+07:00
ewallet_00164,A1,1,1.00,2026-07-30T12:07:57+07:00
social_account_00699,A1,0,0.10,2026-07-30T12:07:57+07:00
apk_00042,A1,1,0.72,2026-07-30T12:07:57+07:00
ewallet_00229,A1,1,0.90,2026-07-30T12:07:57+07:00
phone_00098,A1,1,0.70,2026-07-30T12:07:57+07:00
social_account_01148,A1,1,0.75,2026-07-30T12:07:57+07:00
social_account_01406,A1,1,0.85,2026-07-30T12:07:57+07:00
social_account_00430,A1,1,0.87,2026-07-30T12:07:57+07:00
domain_00302,A1,1,0.78,2026-07-30T12:07:57+07:00
social_account_00767,A1,1,0.63,2026-07-30T12:07:57+07:00
domain_00330,A1,1,0.68,2026-07-30T12:07:57+07:00
social_account_00273,A1,1,0.67,2026-07-30T12:07:57+07:00
social_account_01111,A1,1,0.40,2026-07-30T12:07:57+07:00
social_account_01346,A1,1,0.75,2026-07-30T12:07:57+07:00
bank_account_00188,A1,1,0.60,2026-07-30T12:07:57+07:00
social_account_00148,A1,1,0.60,2026-07-30T12:07:57+07:00
social_account_00200,A1,1,0.67,2026-07-30T12:07:57+07:00
social_account_01073,A1,1,0.58,2026-07-30T12:07:57+07:00
bank_account_00294,A1,1,0.80,2026-07-30T12:07:57+07:00
social_account_00764,A1,1,0.70,2026-07-30T12:07:57+07:00
phone_00267,A1,1,0.54,2026-07-30T12:07:57+07:00
domain_00423,A1,1,0.67,2026-07-30T12:07:57+07:00
bank_account_00275,A1,1,0.78,2026-07-30T12:07:57+07:00
apk_00107,A1,1,0.30,2026-07-30T12:07:57+07:00
social_account_01003,A1,1,0.68,2026-07-30T12:07:57+07:00
social_account_00630,A1,1,0.60,2026-07-30T12:07:57+07:00
bank_account_00418,A1,0,0.20,2026-07-30T12:07:57+07:00
apk_00114,A1,1,0.80,2026-07-30T12:07:57+07:00
domain_00689,A1,1,0.80,2026-07-30T12:07:57+07:00
phone_00115,A1,1,0.30,2026-07-30T12:07:57+07:00
domain_00583,A1,1,0.54,2026-07-30T12:07:57+07:00
social_account_01414,A1,1,0.50,2026-07-30T12:07:57+07:00
bank_account_00395,A1,1,0.90,2026-07-30T12:07:57+07:00
ewallet_00037,A1,1,1.00,2026-07-30T12:07:57+07:00
domain_00527,A1,1,0.33,2026-07-30T12:07:57+07:00
social_account_00229,A1,1,0.52,2026-07-30T12:07:57+07:00
phone_00461,A1,1,0.75,2026-07-30T12:07:57+07:00
bank_account_00021,A1,1,1.00,2026-07-30T12:07:57+07:00
social_account_00937,A1,1,0.63,2026-07-30T12:07:57+07:00
ewallet_00008,A1,1,1.00,2026-07-30T12:07:57+07:00
domain_00692,A1,1,0.20,2026-07-30T12:07:57+07:00
social_account_01109,A1,1,0.40,2026-07-30T12:07:57+07:00
phone_00402,A1,1,0.60,2026-07-30T12:07:57+07:00
social_account_01355,A1,1,0.70,2026-07-30T12:07:57+07:00
social_account_01353,A1,0,0.50,2026-07-30T12:07:57+07:00
domain_00313,A1,1,0.54,2026-07-30T12:07:57+07:00
social_account_00933,A1,1,0.72,2026-07-30T12:07:57+07:00
social_account_00724,A1,1,0.62,2026-07-30T12:07:57+07:00
ewallet_00356,A1,1,0.90,2026-08-14T10:27:03Z
apk_00066,A1,0,0.50,2026-08-14T10:29:34Z
bank_account_00087,A1,1,0.90,2026-08-14T10:30:35Z
social_account_00920,A1,0,0.70,2026-08-14T10:31:05Z
domain_00565,A1,0,0.70,2026-08-14T10:31:20Z
bank_account_00013,A1,1,0.90,2026-08-14T10:31:48Z
social_account_00102,A1,1,0.70,2026-08-14T10:33:41Z
phone_00136,A1,0,0.90,2026-08-14T10:34:03Z
bank_account_00030,A1,1,0.90,2026-08-14T10:34:32Z
social_account_00890,A1,0,0.70,2026-08-14T10:34:50Z
domain_00215,A1,0,0.70,2026-08-14T10:35:56Z
bank_account_00350,A1,0,0.90,2026-08-14T10:36:22Z
bank_account_00178,A1,0,0.90,2026-08-14T10:39:01Z
social_account_00083,A1,0,0.90,2026-08-14T10:39:48Z
ewallet_00061,A1,1,0.90,2026-08-14T10:40:34Z
ewallet_00157,A1,0,0.70,2026-08-14T10:45:28Z
apk_00033,A1,0,0.70,2026-08-14T10:46:05Z
phone_00364,A1,0,0.50,2026-08-14T10:46:43Z
domain_00416,A1,0,0.50,2026-08-14T10:48:29Z
bank_account_00439,A1,1,0.70,2026-08-14T10:49:49Z
phone_00070,A1,0,0.70,2026-08-14T10:50:37Z
social_account_00343,A1,0,0.90,2026-08-14T10:50:58Z
social_account_00551,A1,0,0.90,2026-08-14T10:51:04Z
social_account_01197,A1,0,0.90,2026-08-14T10:51:28Z
social_account_00780,A1,0,0.90,2026-08-14T10:53:55Z
ewallet_00090,A1,1,0.50,2026-08-14T10:54:49Z
apk_00015,A1,0,0.30,2026-08-14T10:55:59Z
phone_00133,A1,0,0.70,2026-08-14T10:57:19Z
bank_account_00039,A1,0,0.90,2026-08-14T10:58:40Z
social_account_01384,A1,0,0.70,2026-08-14T10:58:48Z
bank_account_00317,A1,0,0.50,2026-08-14T11:00:38Z
social_account_00308,A1,0,0.70,2026-08-14T11:01:28Z
ewallet_00101,A1,1,0.50,2026-08-14T11:01:55Z
social_account_01110,A1,0,0.70,2026-08-14T11:02:54Z
social_account_00192,A1,0,0.70,2026-08-14T11:03:04Z
social_account_00547,A1,1,0.50,2026-08-14T11:04:13Z
social_account_00054,A1,0,0.70,2026-08-14T11:04:30Z
phone_00472,A1,0,0.70,2026-08-14T11:04:49Z
ewallet_00256,A1,0,0.30,2026-08-14T11:05:44Z
phone_00226,A1,0,0.70,2026-08-14T11:06:23Z
social_account_01149,A1,0,0.90,2026-08-14T11:06:37Z
ewallet_00365,A1,0,0.70,2026-08-14T11:06:54Z
social_account_01461,A1,0,0.90,2026-08-14T11:08:50Z
social_account_00728,A1,0,0.70,2026-08-14T11:08:59Z
bank_account_00011,A1,1,0.90,2026-08-14T11:09:35Z
apk_00101,A1,1,0.50,2026-08-14T11:10:17Z
social_account_01105,A1,0,0.90,2026-08-14T11:10:54Z
social_account_00848,A1,0,0.70,2026-08-14T11:11:05Z
phone_00336,A1,0,0.70,2026-08-14T11:11:50Z
bank_account_00120,A1,1,0.70,2026-08-14T11:12:44Z
domain_00016,A1,1,0.50,2026-08-14T11:33:52Z
social_account_01191,A1,0,0.90,2026-08-14T11:16:20Z
social_account_00189,A1,0,0.90,2026-08-14T11:18:13Z
bank_account_00047,A1,1,0.90,2026-08-14T11:18:33Z
phone_00430,A1,0,0.90,2026-08-14T11:19:19Z
ewallet_00038,A1,1,0.70,2026-08-14T11:20:25Z
social_account_00569,A1,0,0.90,2026-08-14T11:20:44Z
bank_account_00449,A1,0,0.30,2026-08-14T11:21:13Z
domain_00323,A1,0,0.90,2026-08-14T11:23:20Z
domain_00402,A1,0,0.90,2026-08-14T11:23:42Z
phone_00144,A1,0,0.70,2026-08-14T11:23:57Z
domain_00670,A1,1,0.50,2026-08-14T11:33:07Z
social_account_01129,A1,0,0.70,2026-08-14T11:26:23Z
bank_account_00422,A1,0,0.50,2026-08-14T11:26:42Z
social_account_00262,A1,0,0.90,2026-08-14T11:27:29Z
ewallet_00246,A1,1,0.70,2026-08-14T11:27:46Z
bank_account_00038,A1,0,0.70,2026-08-14T11:29:29Z
domain_00334,A1,1,0.50,2026-08-14T11:30:58Z
phone_00258,A1,0,0.70,2026-08-14T11:32:05Z
domain_00054,A1,1,0.70,2026-08-14T11:34:47Z
social_account_00138,A1,0,0.90,2026-08-14T11:35:20Z
ewallet_00114,A1,0,0.70,2026-08-14T11:35:50Z
social_account_00906,A1,0,0.90,2026-08-14T11:36:38Z
ewallet_00441,A1,0,0.50,2026-08-14T11:37:17Z
domain_00042,A1,1,0.70,2026-08-14T11:37:57Z
social_account_00503,A1,0,0.70,2026-08-14T11:38:32Z
social_account_00607,A1,0,0.90,2026-08-14T11:38:50Z
social_account_01210,A1,0,0.90,2026-08-14T11:38:57Z
social_account_00901,A1,0,0.90,2026-08-14T11:39:02Z
phone_00187,A1,0,0.90,2026-08-14T11:39:40Z
domain_00013,A1,0,0.50,2026-08-14T11:40:16Z
phone_00198,A1,0,0.90,2026-08-14T11:41:02Z
bank_account_00152,A1,1,0.70,2026-08-14T11:41:26Z
social_account_01459,A1,0,0.70,2026-08-14T11:41:52Z
social_account_00286,A1,0,0.70,2026-08-14T11:42:21Z
phone_00106,A1,0,0.70,2026-08-14T11:42:34Z
ewallet_00018,A1,1,0.70,2026-08-14T11:43:13Z
bank_account_00059,A1,1,0.30,2026-08-14T11:43:46Z
social_account_01081,A1,0,0.70,2026-08-14T11:44:04Z
bank_account_00200,A1,1,0.30,2026-08-14T11:44:57Z
apk_00141,A1,0,0.30,2026-08-14T11:49:10Z
social_account_00436,A1,0,0.90,2026-08-14T11:50:29Z
social_account_00971,A1,0,0.70,2026-08-14T11:50:39Z
social_account_00069,A1,1,0.50,2026-08-14T11:51:11Z
ewallet_00116,A1,0,0.70,2026-08-14T11:51:41Z
social_account_00656,A1,0,0.90,2026-08-14T11:52:03Z
domain_00263,A1,0,0.70,2026-08-14T11:52:26Z
ewallet_00353,A1,1,0.70,2026-08-14T11:52:42Z
domain_00007,A1,1,0.70,2026-08-14T11:53:04Z
social_account_00713,A1,0,0.70,2026-08-14T11:53:48Z
social_account_01358,A1,0,0.70,2026-08-14T11:55:01Z
domain_00663,A1,1,0.50,2026-08-14T12:00:14Z
domain_00652,A1,0,0.70,2026-08-14T12:00:52Z
social_account_00448,A1,0,0.50,2026-08-14T12:01:05Z
apk_00099,A1,1,0.30,2026-08-14T12:01:42Z
ewallet_00013,A1,1,0.90,2026-08-14T12:02:44Z
ewallet_00178,A1,1,0.90,2026-08-14T12:04:02Z
social_account_01076,A1,0,0.90,2026-08-14T12:04:39Z
social_account_01380,A1,0,0.70,2026-08-14T12:06:27Z
social_account_00279,A1,0,0.70,2026-08-14T12:08:30Z
domain_00025,A1,0,0.70,2026-08-14T12:17:19Z
social_account_00525,A1,0,0.90,2026-08-14T12:17:37Z
domain_00036,A1,1,0.50,2026-08-14T12:17:52Z
social_account_00012,A1,0,0.50,2026-08-14T12:18:31Z
social_account_01044,A1,0,0.90,2026-08-14T12:18:42Z
social_account_01265,A1,0,0.70,2026-08-14T12:18:54Z
bank_account_00136,A1,1,0.50,2026-08-14T12:19:15Z
phone_00214,A1,0,0.70,2026-08-14T12:19:30Z
phone_00241,A1,0,0.70,2026-08-14T12:19:32Z
social_account_00943,A1,0,0.50,2026-08-14T12:19:49Z
bank_account_00305,A1,0,0.50,2026-08-14T12:20:48Z
social_account_00504,A1,0,0.70,2026-08-14T12:21:04Z
ewallet_00281,A1,1,0.70,2026-08-14T12:22:25Z
domain_00247,A1,1,0.30,2026-08-14T12:23:00Z
bank_account_00181,A1,0,0.70,2026-08-14T12:23:40Z
apk_00154,A1,0,0.70,2026-08-14T12:23:57Z
social_account_00853,A1,0,0.90,2026-08-14T12:24:12Z
social_account_00416,A1,0,0.90,2026-08-14T12:24:23Z
bank_account_00394,A1,1,0.50,2026-08-14T12:25:01Z
apk_00166,A1,0,0.70,2026-08-14T12:25:16Z
domain_00452,A1,0,0.70,2026-08-14T12:25:35Z
ewallet_00217,A1,0,0.90,2026-08-14T12:26:02Z
domain_00355,A1,0,0.70,2026-08-14T12:26:42Z
social_account_01410,A1,0,0.70,2026-08-14T12:26:52Z
bank_account_00352,A1,1,0.70,2026-08-14T12:27:49Z
domain_00576,A1,0,0.50,2026-08-14T12:28:03Z
domain_00336,A1,0,0.70,2026-08-14T12:28:48Z
phone_00274,A1,0,0.70,2026-08-14T12:29:02Z
phone_00020,A1,1,0.50,2026-08-14T12:29:34Z
bank_account_00018,A1,1,0.70,2026-08-14T12:29:55Z
social_account_00827,A1,0,0.70,2026-08-14T12:31:41Z
domain_00534,A1,1,0.50,2026-08-14T12:32:17Z
domain_00522,A1,1,0.30,2026-08-14T12:32:51Z
social_account_00985,A1,0,0.70,2026-08-14T12:34:05Z
ewallet_00370,A1,0,0.70,2026-08-14T12:34:22Z
social_account_01339,A1,0,0.70,2026-08-14T12:35:02Z
social_account_01304,A1,0,0.70,2026-08-14T12:35:25Z
domain_00027,A1,0,0.30,2026-08-14T12:38:15Z
social_account_00779,A1,0,0.70,2026-08-14T12:38:26Z
social_account_00468,A1,0,0.90,2026-08-14T12:38:45Z
ewallet_00412,A2,1,1.00,2026-07-30T12:09:36+07:00
phone_00363,A2,1,0.70,2026-07-30T12:09:36+07:00
social_account_00305,A2,0,0.40,2026-07-30T12:09:36+07:00
domain_00082,A2,0,0.50,2026-07-30T12:09:36+07:00
apk_00167,A2,0,0.60,2026-07-30T12:09:36+07:00
domain_00659,A2,1,0.80,2026-07-30T12:09:36+07:00
social_account_01059,A2,1,1.00,2026-07-30T12:09:36+07:00
ewallet_00434,A2,1,0.70,2026-07-30T12:09:36+07:00
domain_00655,A2,1,0.90,2026-07-30T12:09:36+07:00
social_account_01269,A2,0,0.30,2026-07-30T12:09:36+07:00
social_account_01090,A2,1,0.90,2026-07-30T12:09:36+07:00
social_account_00380,A2,1,0.70,2026-07-30T12:09:36+07:00
social_account_00322,A2,0,0.30,2026-07-30T12:09:36+07:00
social_account_01270,A2,1,0.60,2026-07-30T12:09:36+07:00
domain_00299,A2,0,0.50,2026-07-30T12:09:36+07:00
social_account_00786,A2,1,0.90,2026-07-30T12:09:36+07:00
bank_account_00107,A2,1,0.80,2026-07-30T12:09:36+07:00
bank_account_00133,A2,0,0.30,2026-07-30T12:09:36+07:00
social_account_00496,A2,1,1.00,2026-07-30T12:09:36+07:00
social_account_00055,A2,1,0.80,2026-07-30T12:09:36+07:00
phone_00071,A2,0,0.30,2026-07-30T12:09:36+07:00
social_account_00921,A2,0,0.30,2026-07-30T12:09:36+07:00
phone_00162,A2,1,0.70,2026-07-30T12:09:36+07:00
apk_00114,A2,1,1.00,2026-07-30T12:09:36+07:00
social_account_00933,A2,1,0.90,2026-07-30T12:09:36+07:00
apk_00107,A2,1,0.70,2026-07-30T12:09:36+07:00
social_account_01073,A2,0,0.20,2026-07-30T12:09:36+07:00
social_account_00184,A2,1,0.60,2026-07-30T12:09:36+07:00
bank_account_00395,A2,1,0.60,2026-07-30T12:09:36+07:00
social_account_00281,A2,1,0.80,2026-07-30T12:09:36+07:00
social_account_00453,A2,0,0.50,2026-07-30T12:09:36+07:00
social_account_00232,A2,0,0.40,2026-07-30T12:09:36+07:00
social_account_01293,A2,1,0.80,2026-07-30T12:09:36+07:00
domain_00389,A2,0,0.40,2026-07-30T12:09:36+07:00
social_account_00651,A2,0,0.50,2026-07-30T12:09:36+07:00
social_account_00307,A2,1,0.70,2026-07-30T12:09:36+07:00
social_account_01011,A2,0,0.40,2026-07-30T12:09:36+07:00
social_account_00764,A2,1,0.60,2026-07-30T12:09:36+07:00
ewallet_00164,A2,1,0.80,2026-07-30T12:09:36+07:00
social_account_01013,A2,1,1.00,2026-07-30T12:09:36+07:00
phone_00461,A2,1,1.00,2026-07-30T12:09:36+07:00
social_account_01448,A2,0,0.50,2026-07-30T12:09:36+07:00
social_account_01003,A2,0,0.40,2026-07-30T12:09:36+07:00
social_account_01346,A2,1,0.80,2026-07-30T12:09:36+07:00
domain_00689,A2,1,0.60,2026-07-30T12:09:36+07:00
social_account_00404,A2,0,0.40,2026-07-30T12:09:36+07:00
domain_00038,A2,1,0.60,2026-07-30T12:09:36+07:00
apk_00137,A2,1,0.60,2026-07-30T12:09:36+07:00
bank_account_00215,A2,1,0.80,2026-07-30T12:09:36+07:00
social_account_01407,A2,1,0.60,2026-07-30T12:09:36+07:00
social_account_01246,A2,0,0.40,2026-07-30T12:09:36+07:00
domain_00512,A2,0,0.50,2026-07-30T12:09:36+07:00
bank_account_00372,A2,1,0.70,2026-07-30T12:09:36+07:00
social_account_00070,A2,1,1.00,2026-07-30T12:09:36+07:00
social_account_00850,A2,1,0.70,2026-07-30T12:09:36+07:00
social_account_00369,A2,0,0.30,2026-07-30T12:09:36+07:00
domain_00692,A2,1,0.60,2026-07-30T12:09:36+07:00
social_account_01283,A2,1,0.70,2026-07-30T12:09:36+07:00
bank_account_00117,A2,0,0.30,2026-07-30T12:09:36+07:00
phone_00478,A2,1,0.60,2026-07-30T12:09:36+07:00
bank_account_00287,A2,1,0.70,2026-07-30T12:09:36+07:00
social_account_01406,A2,1,0.60,2026-07-30T12:09:36+07:00
social_account_00212,A2,0,0.30,2026-07-30T12:09:36+07:00
social_account_00246,A2,1,0.80,2026-07-30T12:09:36+07:00
social_account_00200,A2,1,0.70,2026-07-30T12:09:36+07:00
social_account_00937,A2,0,0.20,2026-07-30T12:09:36+07:00
bank_account_00090,A2,1,0.60,2026-07-30T12:09:36+07:00
phone_00340,A2,1,0.70,2026-07-30T12:09:36+07:00
domain_00370,A2,1,0.90,2026-07-30T12:09:36+07:00
ewallet_00247,A2,1,0.60,2026-07-30T12:09:36+07:00
bank_account_00022,A2,1,0.80,2026-07-30T12:09:36+07:00
phone_00264,A2,1,0.60,2026-07-30T12:09:36+07:00
phone_00431,A2,0,0.20,2026-07-30T12:09:36+07:00
ewallet_00019,A2,1,0.80,2026-07-30T12:09:36+07:00
domain_00033,A2,0,0.30,2026-07-30T12:09:36+07:00
bank_account_00239,A2,1,1.00,2026-07-30T12:09:36+07:00
social_account_00251,A2,1,0.70,2026-07-30T12:09:36+07:00
domain_00330,A2,0,0.50,2026-07-30T12:09:36+07:00
domain_00436,A2,1,0.80,2026-07-30T12:09:36+07:00
bank_account_00021,A2,1,0.70,2026-07-30T12:09:36+07:00
domain_00044,A2,1,0.60,2026-07-30T12:09:36+07:00
ewallet_00229,A2,1,0.80,2026-07-30T12:09:36+07:00
social_account_01353,A2,1,0.80,2026-07-30T12:09:36+07:00
social_account_01415,A2,1,0.40,2026-07-30T12:09:36+07:00
phone_00402,A2,1,0.70,2026-07-30T12:09:36+07:00
domain_00423,A2,1,0.60,2026-07-30T12:09:36+07:00
ewallet_00168,A2,0,0.20,2026-07-30T12:09:36+07:00
ewallet_00322,A2,1,0.80,2026-07-30T12:09:36+07:00
domain_00290,A2,0,0.30,2026-07-30T12:09:36+07:00
apk_00024,A2,0,0.20,2026-07-30T12:09:36+07:00
domain_00302,A2,1,0.90,2026-07-30T12:09:36+07:00
bank_account_00188,A2,0,0.30,2026-07-30T12:09:36+07:00
bank_account_00418,A2,1,0.70,2026-07-30T12:09:36+07:00
social_account_00141,A2,0,0.40,2026-07-30T12:09:36+07:00
social_account_01111,A2,0,0.40,2026-07-30T12:09:36+07:00
apk_00059,A2,0,0.20,2026-07-30T12:09:36+07:00
ewallet_00192,A2,0,0.40,2026-07-30T12:09:36+07:00
apk_00009,A2,1,0.80,2026-07-30T12:09:36+07:00
social_account_00004,A2,0,0.40,2026-07-30T12:09:36+07:00
bank_account_00024,A2,1,0.80,2026-07-30T12:09:36+07:00
social_account_01262,A2,1,0.80,2026-07-30T12:09:36+07:00
social_account_00724,A2,1,0.70,2026-07-30T12:09:36+07:00
ewallet_00008,A2,0,0.30,2026-07-30T12:09:36+07:00
phone_00305,A2,1,0.70,2026-07-30T12:09:36+07:00
social_account_01056,A2,1,0.90,2026-07-30T12:09:36+07:00
ewallet_00037,A2,0,0.10,2026-07-30T12:09:36+07:00
social_account_00949,A2,0,0.40,2026-07-30T12:09:36+07:00
apk_00062,A2,1,0.60,2026-07-30T12:09:36+07:00
social_account_00148,A2,1,0.60,2026-07-30T12:09:36+07:00
phone_00098,A2,0,0.30,2026-07-30T12:09:36+07:00
social_account_00265,A2,1,0.80,2026-07-30T12:09:36+07:00
bank_account_00275,A2,0,0.20,2026-07-30T12:09:36+07:00
social_account_01169,A2,1,0.70,2026-07-30T12:09:36+07:00
bank_account_00392,A2,0,0.30,2026-07-30T12:09:36+07:00
social_account_00767,A2,1,0.80,2026-07-30T12:09:36+07:00
social_account_00273,A2,1,0.80,2026-07-30T12:09:36+07:00
bank_account_00161,A2,0,0.30,2026-07-30T12:09:36+07:00
social_account_00430,A2,0,0.40,2026-07-30T12:09:36+07:00
social_account_00699,A2,0,0.40,2026-07-30T12:09:36+07:00
social_account_00783,A2,1,0.80,2026-07-30T12:09:36+07:00
domain_00430,A2,0,0.50,2026-07-30T12:09:36+07:00
social_account_00936,A2,1,0.70,2026-07-30T12:09:36+07:00
social_account_00917,A2,1,0.80,2026-07-30T12:09:36+07:00
ewallet_00446,A2,1,0.70,2026-07-30T12:09:36+07:00
bank_account_00294,A2,1,0.70,2026-07-30T12:09:36+07:00
social_account_00791,A2,1,0.90,2026-07-30T12:09:36+07:00
social_account_01376,A2,0,0.40,2026-07-30T12:09:36+07:00
phone_00267,A2,0,0.30,2026-07-30T12:09:36+07:00
social_account_01109,A2,0,0.40,2026-07-30T12:09:36+07:00
social_account_01148,A2,1,0.60,2026-07-30T12:09:36+07:00
ewallet_00364,A2,0,0.40,2026-07-30T12:09:36+07:00
social_account_00075,A2,1,0.80,2026-07-30T12:09:36+07:00
